category,question,answer
"History","What boy, whose head was on fire as he slept, was adopted by an Etruscan couple and eventually became the sixth king of Rome?","Servius Tullius"
"mythology","While Amphitryon was at war, which Olympian god assumed his form to seduce his wife, Alcmene?","Zeus (not Jupiter, because Alcmene, not Alcmena is given)"
"language","What is the meaning of the Latin verb sedeō?","To sit"
"history","By crossing the Rubicon, what man precipitated the Roman Civil War?","Julius Caesar"
"mythology","In support of the Greeks, which shrewd goddess convinced the Zeleian chieftain Pandarus to fire an arrow that broke the truce between the Greeks and Trojans at Troy?","Athena"
"language","From what Latin verb do we derive “captivity”?","CAPIŌ (TO SEIZE)"
"language","Which of these nouns, if any, does not belong due to declension: clamor, iter, ars, poeta, virtus?","POĒTA (IT IS NOT THIRD DECLENSION)"
"language","Translate into English: Hodiē, Marcus cum Iūliā ad scholam ambulāvit.","TODAY, MARCUS (HAS) WALKED TO SCHOOL WITH JULIA"
"mythology","After Zeus put an end to the Bronze Age with a great flood, what mortal couple followed Themis’s orders and repopulated the earth?","DEUCALION & PYRRHA"
"history","What man, the younger brother of Mago and Hasdrubal, and son of Hamilcar Barca, fought against the Romans in the Second Punic War?","HANNIBAL"
"language","What English word, derived from the Latin word for “where,” means “existing or being everywhere at the same time”?","UBIQUITOUS"
"language","What is the Latin motto of Harvard University?","VĒRITAS (TRUTH)"
"history","What noted orator, a novus homo elected consul in 63 B.C., was proscribed and killed under the orders of Marc Antony, of whom he had written 14 scathing speeches?","(M. TULLIUS) CICERO"
"language","Translate into Latin: The mother watches her own son.","MATER (SUUM) FILIUM SPECTAT / VIDET"
"language","Identify the use of the ablative in the following sentence: Gladiātor scutō fortiter pugnat.","MEANS"
"culture","Gambling and a complete reversal of Roman social roles occurred during what Roman holiday held in December?","SATURNALIA"
"mythology","After his older brothers were all killed by Heracles, what young man ruled the kingdom of Pylos for many years and was looked upon as a source of wisdom for the Greeks at Troy?","NESTOR"
"language","Listen carefully to the following passage, which I read twice, and answer the questions that follow in English: Quod schola magistram Linguae Latīnae numquam habēbat, omnēs discipulī Linguam Latīnam nesciunt. Tandem, nova magistra Linguae Latīnae ad scholam advenit. Quod magistra est bona, multī discipulī Linguam Latinam nunc amant. The question: In this passage, who finally arrives at the school?","A (NEW FEMALE) LATIN TEACHER"
"language","For the phrase alta puella, give the genitive singular.","ALTAE PUELLAE"
"language","Monēmus, audit, and amō are all what tense?","PRESENT"
"language","Listen carefully the following passage, which I will read twice, and answer the questions that follow in Latin: Unō diē, duō liberī ambulāre sīne parentibus in silvīs constituērunt. Monstrum autem in silvīs habitāvit. Post monstrum vidērunt, līberī celeriter fugere temptāvērunt. Monstrum ūnum liberum paene consumpsit, sed parentēs feliciter vēnērunt et monstrum necāvērunt. The question: Quī monstrum necāvērunt?","PARENTĒS"
"language","Translate into Latin: Don’t walk in the woods, Cornelius.","CORNĒLĪ, NOLĪ AMBULĀRE IN SILVĪS"
"mythology","Leading them from Pieria, what wily youth was said to have stolen the cattle of his cousin Apollo?","HERMES / MERCURY"
"history","What modern Italian city did the Romans call Mediolanum?","MILAN"
"language","Translate into English: Caesar vincere Galliam cupiēbat.","CAESAR WAS WISHING / WANTING TO CONQUER GAUL"
"mythology","Of whom does the Greek chorus speak when it sings: “I pity [you], overpowered and undone by [your] children. God metes out justice sooner or later. You have suffered a terrible fate but you, poor wretch, committed an unholy crime against your husband … No house is more lamentable than that of the family of Tantalus?”","CLYTEMNESTRA"
"history","Alexander Helios and Caesarion were some of the children of what foreign queen, with whom Julius Caesar and Marc Antony both had affairs?","CLEOPATRA"
"mythology","Which mythological creature had been sent by Hermes to save Phrixus from being sacrificed?","THE GOLDEN-FLEECED RAM / CHRYSOMALLUS"
"language","Differentiate in meaning between narrō and navigō.","NARRŌ – TELL; NAVIGŌ – SAIL"
"culture","Where in Rome might one hear mention of metae, carceres, missi, and factiones?","AT A CIRCUS (accept specific examples, like the Circus Maximus)"
"language","Which of the following, if any, does not belong due to derivation: coefficient, faction, factorial, codify, confidence?","CONFIDENCE"
"mythology","In Book XII of the Aeneid, what Rutulian man, a fellow suitor of Lavinia, does Aeneas kill in single combat?","TURNUS"
"language","Translate into Latin: Why do birds sing sweetly?","CŪR / QUĀRĒ AVĒS DULCITER / SUĀVITER CANUNT / CANTANT?"
"history","What emperor reigned after Claudius and before Galba?","NERO"
"language","What does the Latin abbreviation P.S. mean?","WRITTEN AFTERWARDS (POST SCRIPTUM)"
"language","Quid Anglicē significat: mānus?","HAND / TEAM / BAND OF MEN"
"mythology","To what ravishing mortal woman were honors given that were meant for Venus, leading the goddess to send her son Cupid to have the mortal fall in love with the vilest creature?","PSYCHE"
"language","Give both present active imperatives of the Latin verb taceō.","TACĒ & TACĒTE"
"history","Having seen twelve vultures as opposed to his brother’s six, who claimed to have divine approval to found a city on that site?","ROMULUS"
"history","What term describes numerals such as decem and quattuor, which denote quantity rather than order?","CARDINAL (NUMERALS)"
"mythology","What terrible monster was the mother by Typhon of the Lernean Hydra, Cerberus, and the Chimera?","ECHIDNA"
"language","What is the case and use of the parens in the following sentence: Puella parentibus librum ostendit.","DATIVE OF INDIRECT OBJECT"
"language","What is the Roman term for a large bath complex?","THERMA / BALNEUM"
"language","What adjective, derived from the name of a Roman god, means “relating to or suited for war”?","MARTIAL"
"mythology","What monster with the hunches of a lion and the head of a human was said to have eaten those who could not answer her riddle as she guarded the gates of Thebes?","SPHYNX"
"language","Translate into Latin: Brutus and Cassius are good men.","BRŪTUS ET CASSIUS BONĪ VIRĪ SUNT"
"language","Castigō and condemnō are antonyms of what first conjugation Latin verb that means “to praise”?","LAUDŌ"
"history","Until the reign of Theodosius II some four hundred years later, what man was the longest reigning Roman emperor, ruling from 27 B.C. to 14 A.D.?","AUGUSTUS"
"language","Using an enclitic particle, say in Latin, “for the weapons and a man.”","ARMĪS VIRŌQUE"
"language","What is the Latin motto of the state of North Carolina, which translates into English as “to be rather than to seem”?","ESSE QUAM VIDĒRĪ"
"mythology","After sacrificing a cow to Athena, what man was advised by her to take the serpent’s teeth and sow them, for from the ground would spring up armed men that would be the ancestors of the noble families of Thebes?","CADMUS"
