category,question,answer
"language","Translate into Latin, using pīrāta to mean “pirate”: “The Roman leader will defeat the pirates within three months.”","RŌMĀNUS DUX PĪRĀTĀS TRIBUS MĒNSIBUS {VINCET / SUPERĀBIT}"
"mythology","What group stayed with people like the king of the Doliones, Cyzicus; the queen of Lemnos, Hypsipyle; and the seer Phineus on their way to retrieve the golden fleece?","ARGONAUTS / MINYANS / MINYAE"
"language","Which of the following nouns does NOT belong because of declension: humus, vulgus, liber, pectus?","PECTUS"
"history","Given the title of “optimus prīnceps” by the Senate, what emperor defeated Decebalus to conquer Dacia, then expanded into Parthia, bringing the empire to its greatest territorial extent?","TRAJAN // (M. ULPIUS) TRAIANUS"
"language","Which one of the following abbreviations does NOT contain an imperative Latin verb: cf., n.b., Rx., q.e.d., q.v.?","Q.E.D."
"language","From what Latin noun with what meaning do we derive “couch,” “lieutenant,” and “locomotive”?","LOCUS – PLACE"
"culture","Occurring during battles at Mt. Vesuvius and Sentinum, what practice saw a Roman commander sacrifice himself for the good of the Roman army?","DĒVŌTIŌ"
"mythology","What Nereid, destined to bear a son mightier than his father, married Peleus and became the mother of Achilles?","THETIS"
"language","How many tenses of the subjunctive are in Latin?","FOUR [PRESENT, PERFECT, IMPERFECT, PLUPERFECT]"
"history","Antioch and Emesa were the locations of battles where Aurelian defeated what foreign queen, who was captured while trying to flee her homeland of Palmyra?","ZENOBIA"
"mythology","The Athenian suburb of Colonus saw the death of what man, who refused to support his son Polynices’s claim to the Theban throne after he went into exile with his daughter Antigone?","Oedipus"
"history","Which of the following people, if any, does NOT have a forum in Rome named after them: Trajan, Diocletian, Augustus, Julius Caesar?","DIOCLETIAN"
"language","For the phrase magna vīs, give the ablative singular.","MAGNĀ VĪ"
"language","Identify the case and use of Lūcius in the following Latin sentence: “Nōlī, Lūcī, īre sine mē!”","VOCATIVE OF DIRECT ADDRESS"
"history","What conflict began when the Roman ally Masinissa made unprovoked attacks on enemy territory, and ended with a Roman commander weeping at the fall of Rome’s great rival in 146 B.C., though accounts of the Romans salting the earth are certainly exaggerated?","THIRD PUNIC WAR"
"mythology","Helios and Hecate were the only two deities to hear what goddess’s cry as she was snatched from her flower picking and taken to the underworld?","PERSEPHONE [DO NOT ACCEPT “PROSERPINA”]"
"history","What emperor’s praetorian prefects included Nymphidius Sabinus, Ofonius Tigellinus, and Afranius Burrus, who had initially guided him alongside Seneca and Agrippina the Younger?","NERO"
"language","Translate into English: “Sedēbam prope arborem quae altissima erat.”","{I WAS SITTING // I SAT} NEAR THE TREE WHICH WAS {VERY TALL // THE TALLEST}"
"language","Differentiate in meaning between the forms erō with one “r” and errō with two “r’s.”","ERŌ – I WILL BE and ERRŌ – I WANDER / ERR [MUST HAVE “I”, SINCE IT SAYS “FORMS”]"
"mythology","Dexamenus is said to have received Heracles after what labor, which saw a king of Elis refuse to pay him for his successful use of the Peneius and Alpheius rivers?","(CLEANING THE) AUGE(I)AN STABLES // FIFTH LABOR"
"history","What Thracian man fortified himself in the crater of Mt. Vesuvius while gathering an army of up to 70,000 enslaved people, pillaging Italy in the late 70s B.C. until he was defeated by Crassus?","SPARTACUS"
"language","If your prescription includes the abbreviation s.i.d., how often should you medicate?","ONCE A DAY"
"culture","What day — which saw the gift-giving of monumenta or crepundia — was also known as the nōminālia, since it was the day a Roman baby got their name?","DIĒS {LŪSTRICUS / NŌMINUM}"
"mythology","Whose sisters were turned into guinea fowl after his mother Althaea put the log attached to his life into a fire?","MELEAGER"
"language","What general meaning is shared by the nouns scopulus, rūpēs, saxum, and lapis?","STONE / ROCK"
"history","After defeating his cousin Constantius II, what emperor enacted policies endorsing the toleration of all religions and rescinded the laws against paganism, and may have been killed by a spear thrown by a Christian?","JULIAN (THE APOSTATE)"
"language","Dēscrībāmus nunc prōprietātēs dictiōnum in hāc sententiā: “Rīdent stolidī verba Latīna.” Quō cāsū est “stolidī”?","NŌMINĀTĪVŌ"
"language","For the verb faciō, give the second person singular present active imperative.","FAC"
"mythology","What type of animal is found in all of the following stories? One of these animals with markings like full moons on its sides led Cadmus to the hill where he founded Thebes. Another of these animals made a sound that alerted Hercules to the location of Cacus’s cave. Argus Panoptes guarded Io while she was transformed into one of these animals.","COW / CATTLE / HEIFER(S)"
"language","What use of the accusative case can be found in the following Latin sentence: “Tiberis trecentōs pedēs lātus est”?","(ACCUSATIVE OF) EXTENT (OF SPACE)"
"history","During what emperor’s reign did Flavius Silva build a huge earthen ramp to conquer Masada, the last Jewish stronghold, four years after Jerusalem had fallen to his son Titus?","VESPASIAN"
"language","Taking the 4th declension noun fructus to mean “fruit”, say in good classical Latin: “The fruits of the land were of great help to the soldiers.”","FRUCTŪS TERRAE MAGNŌ AUXILIŌ MĪLITIBUS {ERANT / FUĒRUNT}"
"language","What derivative of nāscor refers to a historical period after the Middle Ages, whose name literally means “rebirth” in French?","RENAISSANCE"
"history","What husband of Tatia, said to hail from the town of Cures, built the temple of Janus along with many other religious innovations during his reign as King of Rome?","NUMA POMPILIUS"
"mythology","What daughter of Coeus and Phoebe roamed far and wide in search of a refuge where she might give birth to her twin children, Artemis and Apollo?","LETO"
"mythology","What island was home to a pair of brothers, one a king named Polydectes, and the other a fisherman named Dictys who rescued Danae and Perseus when they washed up on its shore?","SERIPHOS / SERIPHUS"
"language","Give the Latin 4th declension word, derived from the Latin words for “water” and “to lead,” through which clean water was conveyed from the mountains into cities and towns.","AQUAEDUCTUS"
"history","What people, whose tribes included the Quadi and Alemanni, began encroaching into Roman territory in the 2nd and 3rd centuries A.D. and produced the chieftain who caused the fall of the Western Empire?","GERMANS / GERMĀNĪ"
"mythology","After her brother murdered her husband, who fled her homeland and cut a bull’s hide into thin strips that enclosed enough land for the citadel of her new city, Carthage?","DIDO / ELISSA"
"language","Translate the following sentence from Latin into English: “Vīnum ā rēge ēmptum portābātur in pōculīs aurī.”","THE WINE (HAVING BEEN) BOUGHT BY THE KING WAS (BEING) CARRIED IN CUPS OF GOLD"
"mythology","What god killed Asclepius when he brought Hippolytus back to life and Phaethon when he lost control of Helios’s chariot and set fire to the world?","ZEUS"
